iso_code,country,2021_last_updated,2020_population,area,density_sq_km,growth_rate,world_%,rank
GTM,Guatemala,18446417.00,17915568.00,"108,889 sq_km",168/sq_km,1.87%,0.23%,67
ECU,Ecuador,18033738.00,17643054.00,"276,841 sq_km",65/sq_km,1.39%,0.23%,68
SEN,Senegal,17462688.00,16743927.00,"196,722 sq_km",87/sq_km,2.70%,0.22%,69
NLD,Netherlands,17195298.00,17134872.00,"41,850 sq_km",410/sq_km,0.22%,0.22%,70
KHM,Cambodia,17080063.00,16718965.00,"181,035 sq_km",94/sq_km,1.36%,0.22%,71
TCD,Chad,17203787.00,16425864.00,"1,284,000 sq_km",13/sq_km,2.98%,0.21%,72
SOM,Somalia,16634297.00,15893222.00,"637,657 sq_km",26/sq_km,2.93%,0.21%,73
ZWE,Zimbabwe,15229891.00,14862924.00,"390,757 sq_km",39/sq_km,1.54%,0.19%,74
GIN,Guinea,13709966.00,13132795.00,"245,857 sq_km",55/sq_km,2.78%,0.17%,75
RWA,Rwanda,13466174.00,12952218.00,"26,338 sq_km",504/sq_km,2.50%,0.17%,76
BEN,Benin,12644580.00,12123200.00,"112,622 sq_km",111/sq_km,2.70%,0.16%,77
BDI,Burundi,12469663.00,11890784.00,"27,834 sq_km",440/sq_km,3.07%,0.16%,78
TUN,Tunisia,12003225.00,11818619.00,"163,610 sq_km",73/sq_km,0.99%,0.15%,79
BOL,Bolivia,11927124.00,11673021.00,"1,098,581 sq_km",11/sq_km,1.37%,0.15%,80
BEL,Belgium,11658404.00,11589623.00,"30,528 sq_km",381/sq_km,0.37%,0.15%,81
